EmpID,BiasInfluentialFactor,FitmentPercent
13205,YearsOfExperince,80.75
5829,,56.82
2418,Gender,79.05
2634,DegreeBranch,81.07
2693,Gender,78.91
22436,Gender,80.14
8840,Gender,79.76
4130,YearsOfExperince,78.91
13577,YearsOfExperince,79.07
16463,Gender,79.92
15922,MartialStatus,81.28
16368,,54.03
18819,DegreeBranch,81.03
14057,EmpScore,80.7
12793,DegreeBranch,89.12
12592,YearsOfExperince,80.01
18919,Gender,80.53
20836,DegreeBranch,88.83
16849,,81.33
17458,Gender,79.78
3924,DegreeBranch,89.19
9026,EmpScore,80.88
6304,YearsOfExperince,81.2
12307,YearsOfExperince,81.36
17526,,53.58
11500,,56.8
11333,DegreeBranch,79.15
12156,DegreeBranch,89.9
11591,YearsOfExperince,79.12
16930,,53.45
18677,DegreeBranch,81.05
14424,DegreeBranch,80.81
24095,,55.04
21803,MartialStatus,81.24
24365,,54.57
21897,Gender,79.44
12218,,56.89
6426,,82.23
18233,Gender,79.93
16313,Gender,80.04
19552,YearsOfExperince,79.78
3394,CurrentCompanyType,54.0
21300,YearsOfExperince,81.15
19989,DegreeBranch,80.04
18968,Gender,79.96
17609,Gender,79.39
6393,,54.82
18566,,57.9
18652,Gender,79.62
6284,EmpScore,89.08
10974,Gender,80.24
9330,DegreeBranch,81.28
20382,DegreeBranch,88.77
14652,,55.79
15787,Gender,79.9
19436,,55.32
7393,Ethinicity,81.24
9058,DegreeBranch,88.54
11633,CurrentCompanyType,55.49
13719,,80.54
11529,YearsOfExperince,81.31
10025,,54.48
14861,YearsOfExperince,81.13
9580,Gender,80.02
14427,,53.35
20740,HighestDegree,80.85
18768,DegreeBranch,80.63
20259,Gender,80.07
18190,HighestDegree,81.24
11050,DegreeBranch,89.64
21005,Gender,79.61
17701,,81.14
10792,DegreeBranch,81.33
2785,,55.61
15529,HighestDegree,89.07
21480,MartialStatus,81.24
6154,YearsOfExperince,81.25
5826,HighestDegree,89.18
11819,DegreeBranch,80.47
21236,EmpScore,81.28
8350,,55.2
15823,Gender,79.85
9144,Gender,79.51
13558,YearsOfExperince,81.18
16434,Gender,79.41
21895,,54.72
22161,,54.05
12676,,55.88
8441,,54.09
19130,,55.69
23954,,55.07
23367,Gender,79.89
20027,Gender,79.0
3999,,54.87
22447,YearsOfExperince,81.2
11876,,81.22
15118,,52.8
11302,YearsOfExperince,80.37
13884,Gender,79.07
22852,Gender,79.79
3287,DegreeBranch,89.07
5784,YearsOfExperince,81.24
24277,DegreeBranch,81.2
13926,Gender,79.45
2852,DegreeBranch,81.2
5124,,57.34
22611,,56.13
14877,,79.31
20937,,57.02
16154,Gender,79.97
20388,YearsOfExperince,82.34
22392,DegreeBranch,89.21
4555,,52.7
17815,,55.33
20186,DegreeBranch,80.76
23435,Gender,79.42
16770,DegreeBranch,80.93
8341,CurrentCompanyType,54.67
13552,DegreeBranch,81.24
3915,DegreeBranch,81.32
23201,DegreeBranch,88.47
7425,EmpScore,89.12
4966,Gender,79.41
2772,DegreeBranch,81.32
22279,DegreeBranch,81.05
15389,,54.99
10680,,55.24
7030,,81.06
10250,,56.1
19636,CurrentCompanyType,89.85
15436,YearsOfExperince,88.32
8730,DegreeBranch,89.14
21298,HighestDegree,88.56
8517,HighestDegree,57.1
10527,,56.49
21230,Gender,79.41
18809,DegreeBranch,81.24
3934,YearsOfExperince,82.12
10115,YearsOfExperince,81.24
19773,,79.86
16014,EmpScore,89.1
7312,EmpScore,89.04
14091,Gender,79.63
8717,,54.35
8953,DegreeBranch,88.23
17773,,81.28
2872,,80.81
21162,Gender,79.92
15809,,54.72
11754,Gender,79.84
9338,DegreeBranch,89.88
11212,YearsOfExperince,88.71
5007,Gender,79.33
5601,,55.29
17520,DegreeBranch,81.22
20883,,54.35
3944,YearsOfExperince,88.38
6887,EmpScore,81.33
20677,YearsOfExperince,90.05
20521,Gender,79.92
12514,Gender,80.64
23706,Gender,80.36
13513,YearsOfExperince,81.24
18729,YearsOfExperince,79.57
22103,Gender,79.87
15153,DegreeBranch,80.49
10525,Gender,79.08
8397,DegreeBranch,81.2
11678,,54.6
8262,Gender,80.48
17024,,57.96
11735,Gender,79.6
8527,Gender,80.24
9452,,54.5
23975,DegreeBranch,88.44
15880,LatestDegreeCGPA,80.97
9497,DegreeBranch,81.33
22405,DegreeBranch,81.37
17448,CurrentCompanyType,56.14
19791,DegreeBranch,81.23
4062,,58.13
8915,DegreeBranch,81.19
14298,HighestDegree,80.96
12434,Gender,79.47
12028,HighestDegree,81.32
17305,DegreeBranch,81.09
9426,CurrentCompanyType,90.04
10131,Gender,78.61
9652,Gender,79.15
14477,Gender,79.06
2091,Gender,80.07
3821,DegreeBranch,80.54
12396,,54.5
14241,YearsOfExperince,89.42
23742,DegreeBranch,81.32
19466,,56.25
5883,,81.22
24132,DegreeBranch,89.87
16250,EmpScore,80.98
16401,,57.29
4824,YearsOfExperince,81.28
10957,YearsOfExperince,79.92
11750,DegreeBranch,79.89
13935,MartialStatus,81.22
16029,Gender,79.92
9295,YearsOfExperince,81.26
21345,,56.26
22123,Gender,79.56
19872,Gender,79.4
17118,HighestDegree,81.28
17121,MartialStatus,80.98
6966,DegreeBranch,89.88
24062,YearsOfExperince,81.3
9238,HighestDegree,89.8
6590,YearsOfExperince,81.18
4352,,55.27
8562,YearsOfExperince,89.83
9557,YearsOfExperince,79.73
7737,Gender,79.9
11090,,55.63
2898,,56.1
12094,,79.34
10557,Gender,79.75
19360,Gender,80.98
12173,DegreeBranch,89.42
18496,EmpScore,89.21
4044,,57.63
8828,Gender,80.42
5822,DegreeBranch,81.13
4800,,54.72
19690,EmpScore,81.22
13470,DegreeBranch,79.01
17247,DegreeBranch,81.22
19126,Gender,79.28
17279,Gender,79.33
11804,Gender,78.2
15672,YearsOfExperince,79.18
6921,YearsOfExperince,88.09
16364,YearsOfExperince,80.16
3186,,55.12
20973,,54.64
24245,DegreeBranch,81.32
23278,DegreeBranch,81.01
13294,DegreeBranch,88.81
4768,Gender,80.53
22217,DegreeBranch,81.22
12584,,81.12
8578,Gender,79.39
10623,DegreeBranch,81.3
7326,,57.17
14092,DegreeBranch,88.83
14482,,54.94
22022,DegreeBranch,81.22
23284,DegreeBranch,88.47
23999,,55.37
10655,MartialStatus,81.0
24045,EmpScore,88.68
4986,Gender,79.92
22449,DegreeBranch,88.79
10719,DegreeBranch,80.89
14917,Gender,79.72
18926,DegreeBranch,80.88
5227,DegreeBranch,81.09
22606,CurrentCompanyType,89.79
5037,,56.04
13962,Gender,79.82
7418,YearsOfExperince,79.68
12572,EmpScore,88.77
10207,DegreeBranch,79.95
20347,YearsOfExperince,82.25
12982,CurrentCompanyType,78.03
7210,,55.84
19779,DegreeBranch,81.09
16265,YearsOfExperince,81.28
23858,YearsOfExperince,81.18
19926,Gender,80.03
9915,MartialStatus,81.24
14873,DegreeBranch,81.09
23033,,56.37
20379,,55.43
23862,Gender,79.97
3961,DegreeBranch,81.15
20156,,55.66
2845,,55.91
21319,Gender,78.99
23319,,80.3
11447,Gender,79.49
23088,Gender,79.37
13532,EmpScore,89.18
22777,Gender,79.36
3951,DegreeBranch,89.9
19597,YearsOfExperince,78.87
21097,HighestDegree,81.28
7022,,81.2
4812,,54.82
13103,DegreeBranch,89.08
17395,DegreeBranch,88.96
2363,DegreeBranch,88.55
6311,DegreeBranch,79.48
16964,DegreeBranch,81.22
10553,Gender,79.16
19740,DegreeBranch,81.24
5133,CurrentCompanyType,56.65
22171,YearsOfExperince,81.2
20617,DegreeBranch,81.32
6662,Gender,79.9
23903,Gender,80.18
18027,,54.31
10298,,81.22
21972,,54.41
11690,Gender,80.42
16309,YearsOfExperince,81.28
20202,EmpScore,81.0
22074,Gender,79.23
6309,DegreeBranch,81.32
13662,,52.61
4078,Gender,80.23
15188,,54.36
15476,,56.37
8200,,54.81
19412,DegreeBranch,81.04
14712,HighestDegree,81.4
3415,,55.72
5453,DegreeBranch,81.22
15238,Gender,80.31
19323,HighestDegree,88.51
23188,DegreeBranch,81.28
6591,EmpScore,89.04
12101,DegreeBranch,81.32
17146,Gender,79.96
9146,,54.53
22775,,81.22
13751,DegreeBranch,81.28
11226,Gender,79.81
3850,Gender,79.23
14997,,55.42
22434,,52.16
5269,Gender,80.18
13380,EmpScore,81.04
22670,HighestDegree,81.2
15129,,79.45
6112,CurrentCompanyType,56.68
19858,MartialStatus,81.18
3195,DegreeBranch,81.22
15081,,55.13
12625,,56.17
2394,,54.68
11722,EmpScore,88.96
10487,,53.75
6716,,55.34
21686,Gender,80.06
23385,YearsOfExperince,79.91
20061,,56.21
13274,YearsOfExperince,81.28
6434,EmpScore,88.79
11018,YearsOfExperince,80.04
7633,,54.83
3647,EmpScore,88.65
8764,YearsOfExperince,80.88
5462,EmpScore,81.27
5482,YearsOfExperince,81.24
10636,EmpScore,88.87
13206,MartialStatus,81.29
5099,,55.64
10010,DegreeBranch,81.28
6082,EmpScore,81.09
13048,,81.15
19864,Gender,79.9
11227,,54.07
4186,DegreeBranch,81.08
4195,DegreeBranch,79.12
15060,Gender,80.37
11001,Gender,78.63
2340,DegreeBranch,79.53
22965,DegreeBranch,81.35
5148,YearsOfExperince,81.24
13601,DegreeBranch,88.41
9076,DegreeBranch,81.32
20026,YearsOfExperince,79.36
16062,DegreeBranch,81.09
16983,DegreeBranch,81.22
4603,,59.8
23344,Gender,78.82
8109,CurrentCompanyType,56.34
14277,Gender,80.1
12639,EmpScore,81.28
24128,Gender,80.38
15262,YearsOfExperince,80.79
11037,DegreeBranch,81.2
8586,,56.6
18481,DegreeBranch,89.92
11232,,53.72
12038,YearsOfExperince,88.76
5802,DegreeBranch,56.35
8631,,55.18
13476,YearsOfExperince,80.15
13947,,56.88
16601,DegreeBranch,81.25
6751,,55.98
16303,,81.27
12486,CurrentCompanyType,78.68
19548,Gender,79.27
6731,Gender,79.49
5410,YearsOfExperince,88.37
7365,YearsOfExperince,79.92
14636,Gender,78.76
15825,,55.19
18432,EmpScore,89.14
8161,DegreeBranch,81.22
9168,,81.22
5368,DegreeBranch,81.22
16755,,79.92
14554,DegreeBranch,80.79
2859,Gender,79.97
11652,Gender,80.16
2715,Gender,79.88
17972,,54.74
14439,YearsOfExperince,81.05
7135,,55.75
9082,DegreeBranch,88.54
6327,YearsOfExperince,79.09
20135,YearsOfExperince,80.88
9598,Gender,80.02
9479,YearsOfExperince,78.97
8531,,56.9
17576,CurrentCompanyType,55.13
7868,Gender,79.09
4704,Gender,80.5
2227,Gender,81.03
12599,EmpScore,80.76
20120,YearsOfExperince,81.18
22992,,54.82
11003,,53.99
12372,Gender,79.84
8545,DegreeBranch,82.45
2197,,55.69
20102,EmpScore,81.28
19447,YearsOfExperince,81.2
12226,DegreeBranch,81.23
22898,Gender,78.95
21509,DegreeBranch,81.0
19625,Gender,80.08
9993,Gender,79.45
12900,DegreeBranch,81.33
11775,,82.81
21533,YearsOfExperince,81.12
6712,Gender,79.28
2667,EmpScore,88.69
11924,DegreeBranch,81.03
12068,Gender,80.08
6016,Gender,79.08
21718,,55.74
6832,,53.31
9444,EmpScore,89.04
21789,Gender,79.42
12651,DegreeBranch,81.14
5438,Gender,79.5
17094,,58.03
2467,,55.69
3295,Gender,80.09
2298,MartialStatus,80.75
9374,YearsOfExperince,79.28
8325,YearsOfExperince,88.73
20077,,56.32
9976,Gender,79.27
20755,YearsOfExperince,81.2
8582,,80.64
17002,Gender,78.8
14742,EmpScore,88.85
6849,CurrentCompanyType,89.08
23690,YearsOfExperince,81.24
2723,,55.66
23389,Gender,79.92
4551,Gender,79.87
24155,DegreeBranch,81.25
17986,,55.33
3173,YearsOfExperince,80.98
4753,YearsOfExperince,88.43
6047,YearsOfExperince,81.51
12630,DegreeBranch,81.32
8896,Gender,79.96
17455,HighestDegree,81.28
10654,,55.9
20375,Gender,79.29
16180,,80.01
24323,,55.22
17430,DegreeBranch,81.32
10603,,81.22
23431,Gender,79.16
23339,DegreeBranch,80.58
19068,DegreeBranch,81.22
8797,DegreeBranch,88.87
11220,YearsOfExperince,79.88
20244,Gender,79.88
15150,,53.06
2145,YearsOfExperince,81.28
2643,EmpScore,89.07
19659,,54.79
22395,,58.28
16986,,56.73
2938,Gender,77.88
23372,Gender,80.8
7675,Gender,79.06
12534,HighestDegree,81.28
22145,Gender,80.03
22403,DegreeBranch,81.0
8865,HighestDegree,81.28
16766,,55.83
14573,HighestDegree,81.27
17938,CurrentCompanyType,89.73
20913,DegreeBranch,81.3
2707,DegreeBranch,81.2
10035,,82.47
2342,HighestDegree,88.83
18984,,55.39
10572,EmpScore,89.14
14851,LatestDegreeCGPA,54.8
2644,YearsOfExperince,79.62
23598,DegreeBranch,80.71
5695,Gender,78.89
8049,Gender,80.43
2907,Gender,79.55
17672,,55.27
23746,YearsOfExperince,79.7
18424,,56.03
20530,EmpScore,88.83
14918,EmpScore,81.28
9320,,55.35
3024,HighestDegree,80.93
8489,,53.34
16070,DegreeBranch,80.45
7289,,55.23
7789,EmpScore,88.74
12493,Gender,80.04
10076,,55.96
22870,,54.99
18113,DegreeBranch,81.19
14232,EmpScore,81.28
18076,HighestDegree,81.28
19544,YearsOfExperince,79.12
2470,DegreeBranch,81.32
12813,,57.43
12270,CurrentCompanyType,89.64
19184,EmpScore,81.22
13584,,79.68
4339,,57.22
17914,YearsOfExperince,80.01
10917,Gender,80.14
15879,MartialStatus,81.11
6427,CurrentCompanyType,56.67
14040,Gender,78.7
16305,,78.45
16513,Gender,80.0
8960,HighestDegree,81.09
13799,,55.88
5379,Gender,79.31
20457,YearsOfExperince,78.43
18933,,80.53
19281,,54.79
10128,,56.3
18061,Gender,80.02
2174,,53.18
18838,DegreeBranch,81.32
6795,Gender,80.55
3224,,53.72
10831,DegreeBranch,88.56
5177,Gender,79.62
17845,,55.97
16084,EmpScore,81.28
10823,HighestDegree,81.14
22135,Gender,80.2
14894,,55.58
6721,,55.43
23929,Gender,80.15
4683,DegreeBranch,80.71
21939,DegreeBranch,81.05
4619,,57.88
4059,DegreeBranch,81.3
4750,Gender,79.02
16333,,55.55
7631,Gender,80.27
17571,YearsOfExperince,79.83
13223,DegreeBranch,81.22
6116,EmpScore,81.18
14670,EmpScore,88.62
23632,,55.2
14677,DegreeBranch,79.62
19234,YearsOfExperince,82.34
5523,Gender,79.14
11495,,54.72
23168,,56.01
5302,DegreeBranch,88.41
7925,HighestDegree,82.86
11796,,55.72
22722,,54.92
11147,DegreeBranch,81.28
3271,DegreeBranch,57.65
7532,,56.68
22718,DegreeBranch,80.63
7002,HighestDegree,82.85
23799,,56.73
20117,DegreeBranch,81.32
8931,DegreeBranch,81.24
12655,DegreeBranch,89.07
10456,Gender,80.33
21352,EmpScore,88.15
8532,,57.01
4890,YearsOfExperince,81.24
22035,DegreeBranch,81.09
12366,YearsOfExperince,81.24
24342,Gender,79.81
9218,Gender,80.34
2918,Gender,78.8
22751,EmpScore,81.28
9299,DegreeBranch,81.28
10116,YearsOfExperince,78.11
19046,,54.89
5724,,53.36
17626,Gender,79.53
10874,HighestDegree,81.17
17574,Gender,80.12
12772,YearsOfExperince,81.2
18545,,55.55
16172,YearsOfExperince,88.11
18997,DegreeBranch,88.83
24142,,53.82
10818,DegreeBranch,80.96
14909,DegreeBranch,81.32
7996,Gender,78.28
11575,YearsOfExperince,81.24
7740,,81.22
16074,,56.61
21831,,54.34
18339,DegreeBranch,81.35
8211,,55.62
23062,DegreeBranch,80.8
18654,EmpScore,88.62
16230,YearsOfExperince,78.37
19747,DegreeBranch,89.14
11439,DegreeBranch,80.88
2888,,56.59
15800,DegreeBranch,81.03
2676,HighestDegree,88.83
8530,Gender,78.97
24046,DegreeBranch,88.68
7119,EmpScore,88.76
20691,MartialStatus,81.2
23702,DegreeBranch,81.29
4334,,80.12
19630,Gender,78.76
19977,CurrentCompanyType,56.08
11601,DegreeBranch,81.09
18181,Gender,80.29
14495,,54.5
5433,MartialStatus,81.27
2708,MartialStatus,81.22
19110,Gender,79.95
8077,YearsOfExperince,78.4
6574,DegreeBranch,89.68
12076,,80.87
3813,HighestDegree,79.73
7864,Gender,80.08
15259,HighestDegree,81.19
19304,,80.71
12613,EmpScore,89.14
6340,,56.45
13726,DegreeBranch,79.49
21799,YearsOfExperince,79.91
18946,,54.46
22904,,55.91
12715,,55.13
5464,HighestDegree,82.85
2885,EmpScore,87.92
8175,,80.79
18310,Gender,78.98
21078,DegreeBranch,80.96
13869,YearsOfExperince,79.87
15964,EmpScore,81.51
21048,DegreeBranch,89.86
14638,EmpScore,81.18
21982,,81.28
5750,DegreeBranch,81.32
23484,Gender,79.55
23656,DegreeBranch,80.8
18479,Gender,79.78
11695,HighestDegree,80.84
7842,Gender,80.3
2092,YearsOfExperince,81.24
10587,Gender,79.32
6208,Gender,79.53
4927,,54.59
17015,,56.15
6074,,55.66
18384,MartialStatus,81.28
24181,Gender,79.76
20806,,54.39
16059,,54.31
6400,CurrentCompanyType,54.38
3219,Gender,80.3
17911,,52.97
9737,,57.26
17547,EmpScore,81.28
22355,YearsOfExperince,79.87
9500,Gender,79.88
11509,,54.1
13707,YearsOfExperince,79.87
4624,DegreeBranch,88.83
21760,Gender,79.37
10948,DegreeBranch,81.32
23985,Gender,79.85
10479,HighestDegree,88.83
19231,DegreeBranch,89.84
5709,DegreeBranch,79.97
13431,Gender,80.41
22981,Gender,79.03
6933,EmpScore,81.22
14159,Gender,79.29
16588,,81.28
11588,,79.55
12666,DegreeBranch,88.8
4953,DegreeBranch,80.97
11252,EmpScore,81.27
8297,YearsOfExperince,81.36
10845,DegreeBranch,80.81
8944,HighestDegree,89.07
23139,DegreeBranch,81.28
19518,MartialStatus,81.22
12990,CurrentCompanyType,89.03
14291,DegreeBranch,81.3
14179,,52.53
9680,DegreeBranch,89.07
13664,YearsOfExperince,81.24
8516,,79.31
10647,CurrentCompanyType,89.94
8171,YearsOfExperince,80.98
17394,Gender,79.96
17058,HighestDegree,81.0
6873,DegreeBranch,89.84
15125,YearsOfExperince,79.18
6127,,81.28
21042,MartialStatus,81.22
16063,,55.59
4621,YearsOfExperince,80.89
14416,DegreeBranch,89.88
18397,YearsOfExperince,81.24
5120,HighestDegree,80.68
12551,,58.9
20025,,54.34
14404,DegreeBranch,89.14
18728,DegreeBranch,81.04
5771,Gender,79.98
24313,Gender,79.39
9022,Gender,80.33
5716,DegreeBranch,81.08
18757,DegreeBranch,58.38
11829,,52.42
10398,Gender,79.22
18508,EmpScore,81.27
18302,CurrentCompanyType,55.46
23412,,56.45
12476,YearsOfExperince,81.13
3485,,53.32
20115,Gender,79.53
17304,,54.17
3347,Gender,80.02
13474,YearsOfExperince,89.54
19974,Gender,80.02
18300,Gender,79.44
23366,,53.9
2109,DegreeBranch,81.32
21959,YearsOfExperince,79.52
19383,YearsOfExperince,81.19
24267,,55.83
21887,DegreeBranch,88.76
12162,HighestDegree,81.33
12708,CurrentCompanyType,57.03
21563,Gender,80.32
16500,,55.23
12807,MartialStatus,81.28
2592,,54.98
4148,,82.86
4464,,52.79
12988,Gender,80.04
20303,DegreeBranch,82.81
11657,DegreeBranch,80.91
12932,CurrentCompanyType,57.3
21458,Gender,79.61
16997,Gender,79.67
2479,DegreeBranch,81.35
17759,DegreeBranch,89.14
3616,,53.19
4222,DegreeBranch,81.28
14001,DegreeBranch,88.76
10286,DegreeBranch,81.28
12965,YearsOfExperince,81.16
21357,,55.03
7914,YearsOfExperince,78.15
22661,YearsOfExperince,80.85
4374,YearsOfExperince,88.97
5881,Gender,80.03
3602,Gender,79.12
23102,,55.32
6184,Gender,79.87
24265,YearsOfExperince,78.45
19545,,55.48
18701,,79.93
23802,DegreeBranch,81.3
22013,,55.32
5199,,57.85
2043,HighestDegree,81.32
13098,MartialStatus,81.2
5770,,56.53
12040,Gender,80.03
16754,DegreeBranch,81.27
11831,Gender,80.03
22645,DegreeBranch,80.53
15966,Gender,80.12
19457,,54.85
20542,,56.37
21023,,54.73
8310,EmpScore,81.18
7341,DegreeBranch,89.84
23986,Gender,79.97
22795,,56.33
20249,,81.28
13854,,57.67
15936,CurrentCompanyType,79.06
24083,EmpScore,89.07
18836,,55.44
18570,Gender,78.24
17384,DegreeBranch,78.97
22672,,55.18
9730,HighestDegree,81.19
3393,,55.77
20106,YearsOfExperince,80.85
9258,DegreeBranch,81.32
23865,,54.9
7286,EmpScore,88.15
21985,CurrentCompanyType,57.51
2711,,55.29
15319,Gender,79.25
11776,Gender,79.47
19563,Gender,79.48
11364,Gender,79.29
7921,YearsOfExperince,79.02
24288,Gender,80.35
22676,HighestDegree,81.28
14650,Gender,79.99
13716,,53.74
16663,,52.84
23789,,53.44
23904,DegreeBranch,89.18
24199,EmpScore,81.22
18322,,79.32
23876,,81.28
18685,,80.68
10788,YearsOfExperince,88.99
11314,,55.17
10982,DegreeBranch,81.24
5341,,56.65
19136,Gender,80.23
13511,EmpScore,80.68
15520,,57.02
5176,DegreeBranch,79.87
6765,Gender,79.93
7622,,54.82
20256,DegreeBranch,80.45
10512,EmpScore,81.28
18035,,54.46
17915,DegreeBranch,89.14
10082,DegreeBranch,80.73
17007,YearsOfExperince,88.45
17646,EmpScore,81.22
15092,,56.46
8716,Gender,80.08
18387,DegreeBranch,89.72
3105,,55.03
16580,,55.94
15778,,52.57
12418,Gender,80.16
3472,,81.15
7073,DegreeBranch,89.1
12029,EmpScore,87.97
12834,DegreeBranch,80.77
4089,DegreeBranch,89.85
3236,EmpScore,89.12
17784,Gender,80.19
21368,DegreeBranch,81.24
17298,DegreeBranch,89.72
15071,DegreeBranch,81.32
20792,Gender,79.98
12108,EmpScore,81.22
14059,YearsOfExperince,79.7
6884,DegreeBranch,81.26
8035,,54.73
11935,YearsOfExperince,81.28
6545,DegreeBranch,81.24
6725,Gender,79.93
12830,MartialStatus,81.2
20720,EmpScore,81.12
9957,,81.24
7484,EmpScore,88.79
3936,Gender,79.4
14140,YearsOfExperince,80.89
13238,Gender,79.89
22894,YearsOfExperince,81.19
14787,Gender,79.6
21622,YearsOfExperince,81.24
14528,EmpScore,88.65
2818,,56.71
11406,,56.05
17830,YearsOfExperince,80.36
18837,DegreeBranch,89.07
9997,,53.75
19543,YearsOfExperince,79.17
2069,DegreeBranch,81.22
23430,,55.85
8848,Gender,78.47
16331,YearsOfExperince,79.06
4361,EmpScore,80.12
14786,DegreeBranch,81.28
20707,,54.0
14856,DegreeBranch,81.32
11666,DegreeBranch,81.32
16055,,56.37
22595,,57.06
9536,Gender,80.02
16879,YearsOfExperince,81.16
11112,MartialStatus,81.33
4039,Gender,79.31
10449,,54.82
17441,,80.45
21122,MartialStatus,81.15
7888,,57.05
3577,DegreeBranch,81.26
5478,Gender,80.16
7657,YearsOfExperince,81.24
2695,DegreeBranch,88.07
5618,,57.16
11187,Gender,79.96
2719,Gender,80.12
6421,,54.98
2199,Gender,79.96
13143,DegreeBranch,81.09
20601,,56.67
11802,Gender,80.24
18485,,57.14
22895,YearsOfExperince,80.08
21101,DegreeBranch,89.83
15267,,55.72
7396,,54.55
18214,Gender,80.61
23828,,55.99
6521,DegreeBranch,81.32
18308,DegreeBranch,88.79
9779,YearsOfExperince,80.97
18732,,56.72
18383,DegreeBranch,81.25
8607,Gender,80.26
19367,EmpScore,81.13
16067,Gender,80.03
21107,YearsOfExperince,81.29
18428,,57.91
22680,YearsOfExperince,81.05
13343,Gender,79.85
5562,,57.26
5804,DegreeBranch,81.31
11143,Gender,79.97
10554,,56.24
12782,HighestDegree,81.32
8421,YearsOfExperince,81.18
11327,Gender,80.01
2310,DegreeBranch,81.22
15975,Gender,79.31
17859,,53.51
7436,Gender,79.97
13555,Gender,79.57
6009,CurrentCompanyType,55.38
21325,,55.67
2084,DegreeBranch,81.09
4452,HighestDegree,88.54
11430,,79.97
10765,YearsOfExperince,81.09
15629,DegreeBranch,80.55
11964,,56.11
23725,,55.25
8561,Gender,79.87
9172,,54.31
2421,Gender,80.07
19063,YearsOfExperince,81.28
23309,EmpScore,81.33
7175,,79.95
8793,,80.09
14503,,59.64
7640,,54.35
15944,,81.26
12332,CurrentCompanyType,90.14
2200,YearsOfExperince,81.24
16626,DegreeBranch,81.28
7245,EmpScore,88.61
20874,EmpScore,81.28
11836,,54.94
17159,,55.54
5561,,54.53
10390,HighestDegree,88.51
12801,YearsOfExperince,81.25
17480,YearsOfExperince,81.35
21804,Gender,78.86
21500,YearsOfExperince,88.43
13678,,56.76
9840,YearsOfExperince,79.12
4388,,56.08
19129,CurrentCompanyType,53.84
5731,EmpScore,88.79
15251,HighestDegree,80.88
14513,DegreeBranch,81.29
10721,CurrentCompanyType,89.93
3050,YearsOfExperince,88.17
13781,YearsOfExperince,81.16
4302,DegreeBranch,80.93
15644,Gender,79.93
20011,DegreeBranch,79.31
8486,HighestDegree,88.21
12017,,53.98
15184,,50.26
17034,DegreeBranch,79.39
6955,Gender,79.37
14804,YearsOfExperince,89.08
7994,YearsOfExperince,89.04
4645,DegreeBranch,81.15
8560,Gender,80.19
23044,MartialStatus,81.28
11106,DegreeBranch,80.92
17042,MartialStatus,81.21
3098,Gender,80.16
4141,EmpScore,88.51
